Date,Open,High,Low,Close,Adj Close,Volume
2025-01-02,91.07,91.4,89.13,89.41,89.41,1086717
2025-01-03,89.41,89.64,88.42,88.63,88.63,1280975
2025-01-06,88.63,88.88,87.91,88.14,88.14,1083868
2025-01-07,88.14,89.53,87.97,89.34,89.34,995257
2025-01-08,89.34,90.0,89.12,89.75,89.75,1488579
2025-01-09,89.75,90.42,87.21,87.8,87.8,1110176
2025-01-10,87.8,88.4,87.6,88.18,88.18,1090471
2025-01-13,88.18,88.58,87.41,87.77,87.77,1372930
2025-01-14,87.77,88.54,86.36,87.05,87.05,1418862
2025-01-15,87.05,87.93,86.88,87.74,87.74,1375774
2025-01-16,87.74,89.67,87.07,88.91,88.91,1039789
2025-01-17,88.91,90.36,88.57,89.98,89.98,1289593
2025-01-20,89.98,90.25,88.82,89.06,89.06,973686
2025-01-21,89.06,89.73,88.13,88.73,88.73,967661
2025-01-22,88.73,89.75,88.17,89.12,89.12,1468535
2025-01-23,89.12,91.06,88.4,90.25,90.25,1145121
2025-01-24,90.25,90.96,89.09,89.72,89.72,1267257
2025-01-27,89.72,90.48,88.86,89.54,89.54,1166765
2025-01-28,89.54,89.92,87.98,88.32,88.32,1046106
2025-01-29,88.32,88.62,86.75,87.02,87.02,1158930
2025-01-30,87.02,88.64,86.39,87.93,87.93,1348874
2025-01-31,87.93,90.23,87.27,89.47,89.47,1462926
2025-02-03,89.47,90.36,88.61,89.41,89.41,1018033
2025-02-04,89.41,91.05,88.98,90.57,90.57,1066926
2025-02-05,90.57,91.46,90.16,91.01,91.01,1470559
2025-02-06,91.01,91.75,89.62,90.29,90.29,1331734
2025-02-07,90.29,91.15,89.91,90.72,90.72,1273220
2025-02-10,90.72,93.4,89.95,92.52,92.52,1121897
2025-02-11,92.52,93.34,91.76,92.5,92.5,901062
2025-02-12,92.5,94.88,92.05,94.37,94.37,1147736
2025-02-13,94.37,95.12,90.67,91.32,91.32,1474736
2025-02-14,91.32,93.04,90.66,92.3,92.3,995462
2025-02-17,92.3,92.68,92.06,92.42,92.42,1299445
2025-02-18,92.42,93.27,91.33,92.09,92.09,1350009
2025-02-19,92.09,92.78,91.59,92.22,92.22,1472203
2025-02-20,92.22,93.02,89.27,89.96,89.96,1166776
2025-02-21,89.96,90.37,89.37,89.74,89.74,1271923
2025-02-24,89.74,90.99,89.0,90.16,90.16,1299384
2025-02-25,90.16,92.35,89.75,91.88,91.88,1431849
2025-02-26,91.88,92.07,91.13,91.3,91.3,1367010
2025-02-27,91.3,92.15,89.65,90.4,90.4,1286193
2025-02-28,90.4,90.65,89.63,89.85,89.85,926734
2025-03-03,89.85,91.33,89.48,90.91,90.91,926069
2025-03-04,90.91,92.19,90.13,91.31,91.31,1437198
2025-03-05,91.31,92.19,89.94,90.73,90.73,1235623
2025-03-06,90.73,91.94,90.19,91.34,91.34,1370951
2025-03-07,91.34,92.12,90.76,91.47,91.47,981264
2025-03-10,91.47,93.13,91.01,92.62,92.62,923275
2025-03-11,92.62,93.02,91.46,91.82,91.82,1496562
2025-03-12,91.82,92.25,91.08,91.47,91.47,1374665
2025-03-13,91.47,92.14,90.43,91.04,91.04,1262920
2025-03-14,91.04,91.77,88.75,89.39,89.39,1091076
2025-03-17,89.39,90.5,88.72,89.75,89.75,1094053
2025-03-18,89.75,90.82,89.08,90.07,90.07,1472735
2025-03-19,90.07,90.34,89.85,90.09,90.09,1499991
2025-03-20,90.09,90.63,89.37,89.85,89.85,1012581
2025-03-21,89.85,90.07,88.09,88.28,88.28,1165956
2025-03-24,88.28,88.85,87.33,87.84,87.84,1321240
2025-03-25,87.84,88.32,87.04,87.48,87.48,1016421
2025-03-26,87.48,88.28,85.91,86.62,86.62,1425893
2025-03-27,86.62,87.04,86.09,86.47,86.47,1364374
2025-03-28,86.47,87.18,86.24,86.93,86.93,972303
2025-03-31,86.93,89.32,86.68,89.04,89.04,1058211
2025-04-01,89.04,89.98,88.39,89.26,89.26,1087210
2025-04-02,89.26,90.19,88.7,89.57,89.57,1044990
2025-04-03,89.57,89.82,89.28,89.51,89.51,1058518
2025-04-04,89.51,89.74,87.18,87.39,87.39,1024040
2025-04-07,87.39,88.05,86.78,87.38,87.38,1423138
2025-04-08,87.38,87.69,87.18,87.47,87.47,1318034
2025-04-09,87.47,91.02,86.79,90.25,90.25,1440677
2025-04-10,90.25,90.94,89.43,90.05,90.05,1203571
2025-04-11,90.05,90.65,89.83,90.41,90.41,1022883
2025-04-14,90.41,90.66,90.18,90.39,90.39,1287952
2025-04-15,90.39,91.29,88.3,89.09,89.09,1012221
2025-04-16,89.09,90.86,88.69,90.41,90.41,1160669
2025-04-17,90.41,91.74,90.0,91.29,91.29,1425134
2025-04-18,91.29,93.01,90.59,92.23,92.23,1435242
2025-04-21,92.23,93.11,90.41,91.2,91.2,1241383
2025-04-22,91.2,93.76,90.39,92.85,92.85,1144761
2025-04-23,92.85,93.59,90.58,91.24,91.24,1037541
2025-04-24,91.24,92.4,90.83,91.94,91.94,964323
2025-04-25,91.94,94.79,91.72,94.54,94.54,1089139
2025-04-28,94.54,95.31,92.7,93.39,93.39,1080448
2025-04-29,93.39,93.99,92.2,92.74,92.74,1135659
2025-04-30,92.74,93.38,92.29,92.88,92.88,1289678
2025-05-01,92.88,93.74,91.55,92.32,92.32,1004537
2025-05-02,92.32,92.58,90.32,90.55,90.55,1141983
2025-05-05,90.55,91.19,90.07,90.65,90.65,1466821
2025-05-06,90.65,90.84,89.3,89.47,89.47,901917
2025-05-07,89.47,90.54,89.01,90.03,90.03,1182762
2025-05-08,90.03,90.25,88.81,89.01,89.01,1456542
2025-05-09,89.01,91.06,88.77,90.79,90.79,1267436
2025-05-12,90.79,91.05,89.68,89.92,89.92,1409930
2025-05-13,89.92,90.56,88.99,89.57,89.57,1471650
2025-05-14,89.57,91.24,88.93,90.52,90.52,1182272
2025-05-15,90.52,91.12,88.61,89.15,89.15,1285925
2025-05-16,89.15,90.29,88.37,89.42,89.42,1489833
2025-05-19,89.42,91.39,89.02,90.93,90.93,982180
2025-05-20,90.93,91.32,88.79,89.13,89.13,1303081
2025-05-21,89.13,90.16,88.41,89.36,89.36,1201953
2025-05-22,89.36,90.01,89.05,89.67,89.67,1278892
2025-05-23,89.67,91.46,88.89,90.58,90.58,905287
2025-05-26,90.58,90.77,89.03,89.2,89.2,1157665
2025-05-27,89.2,90.07,86.98,87.75,87.75,908512
2025-05-28,87.75,88.56,87.57,88.35,88.35,1356292
2025-05-29,88.35,89.51,87.63,88.7,88.7,1008872
2025-05-30,88.7,89.56,88.21,89.01,89.01,993070
2025-06-02,89.01,90.31,88.21,89.42,89.42,1329474
2025-06-03,89.42,89.65,88.47,88.67,88.67,942078
2025-06-04,88.67,89.53,88.16,88.96,88.96,1268432
2025-06-05,88.96,90.18,88.17,89.31,89.31,1127645
2025-06-06,89.31,89.86,88.03,88.53,88.53,1436507
2025-06-09,88.53,91.29,87.97,90.65,90.65,1205073
2025-06-10,90.65,91.91,90.04,91.22,91.22,1027309
2025-06-11,91.22,91.73,89.42,89.88,89.88,1229588
2025-06-12,89.88,91.29,89.31,90.65,90.65,1364008
2025-06-13,90.65,91.25,89.03,89.56,89.56,1246699
2025-06-16,89.56,91.31,88.82,90.48,90.48,1235842
2025-06-17,90.48,92.05,90.29,91.83,91.83,1286594
2025-06-18,91.83,92.22,90.56,90.91,90.91,943925
2025-06-19,90.91,92.92,90.12,92.04,92.04,1037023
2025-06-20,92.04,93.39,91.28,92.54,92.54,987388
2025-06-23,92.54,94.05,92.07,93.53,93.53,1432295
2025-06-24,93.53,96.48,92.94,95.81,95.81,1157802
2025-06-25,95.81,96.22,95.18,95.54,95.54,1335048
2025-06-26,95.54,95.87,94.36,94.66,94.66,958596
2025-06-27,94.66,95.2,93.14,93.63,93.63,1251005
2025-06-30,93.63,94.08,92.29,92.69,92.69,1439812
2025-07-01,92.69,93.31,92.07,92.62,92.62,1422244
2025-07-02,92.62,93.29,92.4,93.04,93.04,1312498
2025-07-03,93.04,94.31,92.22,93.39,93.39,1399097
2025-07-04,93.39,95.32,92.56,94.39,94.39,1048056
2025-07-07,94.39,95.15,93.75,94.43,94.43,914060
2025-07-08,94.43,96.8,93.89,96.2,96.2,1377272
2025-07-09,96.2,96.63,95.51,95.9,95.9,1418545
2025-07-10,95.9,100.11,95.17,99.27,99.27,1090279
2025-07-11,99.27,100.83,98.6,100.08,100.08,939711
2025-07-14,100.08,100.41,98.73,99.03,99.03,1043026
2025-07-15,99.03,99.94,96.9,97.72,97.72,1235484
2025-07-16,97.72,99.18,96.97,98.34,98.34,1365317
2025-07-17,98.34,99.28,97.24,98.09,98.09,1118134
2025-07-18,98.09,99.77,97.4,99.0,99.0,1002974
2025-07-21,99.0,100.3,98.38,99.61,99.61,1049646
2025-07-22,99.61,100.15,99.07,99.55,99.55,1302400
2025-07-23,99.55,100.49,97.67,98.51,98.51,1050168
2025-07-24,98.51,99.39,95.9,96.67,96.67,1492016
2025-07-25,96.67,96.9,95.95,96.15,96.15,1435534
2025-07-28,96.15,97.44,95.96,97.22,97.22,1338774
2025-07-29,97.22,97.99,96.78,97.51,97.51,1411937
2025-07-30,97.51,98.33,95.28,96.01,96.01,1311597
2025-07-31,96.01,97.2,95.16,96.24,96.24,992263
2025-08-01,96.24,97.04,95.97,96.73,96.73,1435590
2025-08-04,96.73,97.39,95.1,95.69,95.69,1465445
2025-08-05,95.69,96.38,95.25,95.89,95.89,1479205
2025-08-06,95.89,96.92,95.05,95.99,95.99,1123810
2025-08-07,95.99,96.83,93.89,94.64,94.64,996646
2025-08-08,94.64,95.92,93.9,95.09,95.09,1245266
2025-08-11,95.09,96.34,94.6,95.78,95.78,1390025
2025-08-12,95.78,97.64,95.33,97.12,97.12,1380703
2025-08-13,97.12,98.86,96.76,98.45,98.45,1243054
2025-08-14,98.45,98.69,96.56,96.77,96.77,1167552
2025-08-15,96.77,97.64,94.89,95.66,95.66,959379
2025-08-18,95.66,97.13,94.93,96.31,96.31,925053
2025-08-19,96.31,97.92,95.44,96.95,96.95,1302662
2025-08-20,96.95,98.58,96.08,97.61,97.61,998723
2025-08-21,97.61,103.15,97.04,102.49,102.49,1475644
2025-08-22,102.49,104.09,101.74,103.25,103.25,1172933
2025-08-25,103.25,105.77,102.36,104.77,104.77,932154
2025-08-26,104.77,106.99,103.94,106.06,106.06,1113942
2025-08-27,106.06,107.38,105.68,106.96,106.96,1164480
2025-08-28,106.96,107.56,106.02,106.56,106.56,1265821
2025-08-29,106.56,107.93,106.27,107.61,107.61,1181173
2025-09-01,107.61,108.64,105.67,106.59,106.59,932265
2025-09-02,106.59,107.32,105.64,106.3,106.3,1265060
2025-09-03,106.3,106.71,105.31,105.68,105.68,1143322
2025-09-04,105.68,106.59,104.97,105.81,105.81,1074944
2025-09-05,105.81,109.72,105.15,108.97,108.97,1470485
2025-09-08,108.97,109.5,105.99,106.46,106.46,1348396
2025-09-09,106.46,107.72,106.18,107.41,107.41,1054782
2025-09-10,107.41,108.2,104.57,105.27,105.27,971907
2025-09-11,105.27,105.92,104.09,104.67,104.67,1102967
2025-09-12,104.67,107.01,103.9,106.15,106.15,1202775
2025-09-15,106.15,106.91,105.56,106.26,106.26,1291182
2025-09-16,106.26,107.19,104.02,104.85,104.85,1182247
2025-09-17,104.85,105.52,103.33,103.93,103.93,964772
2025-09-18,103.93,105.53,103.33,104.85,104.85,1026108
2025-09-19,104.85,105.8,103.07,103.92,103.92,914382
2025-09-22,103.92,104.77,103.43,104.22,104.22,984291
2025-09-23,104.22,104.63,103.94,104.31,104.31,1263339
2025-09-24,104.31,104.54,103.27,103.48,103.48,1182753
2025-09-25,103.48,107.19,102.73,106.34,106.34,1047550
2025-09-26,106.34,107.96,105.67,107.22,107.22,1132050
2025-09-29,107.22,108.04,103.82,104.54,104.54,1332882
2025-09-30,104.54,105.2,104.19,104.81,104.81,1237827
2025-10-01,104.81,105.14,103.68,103.97,103.97,1392313
2025-10-02,103.97,105.34,103.77,105.11,105.11,1286858
2025-10-03,105.11,105.62,103.64,104.09,104.09,1495603
2025-10-06,104.09,104.79,103.34,103.97,103.97,1288349
2025-10-07,103.97,105.2,103.49,104.66,104.66,914153
2025-10-08,104.66,106.41,104.14,105.83,105.83,1140773
2025-10-09,105.83,106.81,103.4,104.27,104.27,955318
2025-10-10,104.27,104.77,103.41,103.85,103.85,1294030
2025-10-13,103.85,104.49,102.69,103.26,103.26,1277177
2025-10-14,103.26,104.11,101.67,102.44,102.44,976077
2025-10-15,102.44,105.31,101.96,104.77,104.77,1033515
2025-10-16,104.77,106.06,104.11,105.33,105.33,1106988
2025-10-17,105.33,106.26,102.86,103.69,103.69,1025885
2025-10-20,103.69,105.93,102.8,104.92,104.92,1441656
